[ 2026-01-31 15:19:10,004 ] numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2026-01-31 15:19:15,300 ] tensorflow - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[ 2026-01-31 15:19:15,714 ] h5py._conv - DEBUG - Creating converter from 7 to 5
[ 2026-01-31 15:19:15,714 ] h5py._conv - DEBUG - Creating converter from 5 to 7
[ 2026-01-31 15:19:15,714 ] h5py._conv - DEBUG - Creating converter from 7 to 5
[ 2026-01-31 15:19:15,714 ] h5py._conv - DEBUG - Creating converter from 5 to 7
[ 2026-01-31 15:19:16,200 ] jax._src.path - DEBUG - etils.epath found. Using etils.epath for file I/O.
[ 2026-01-31 15:19:16,832 ] matplotlib - DEBUG - matplotlib data path: /opt/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data
[ 2026-01-31 15:19:16,836 ] matplotlib - DEBUG - CONFIGDIR=/Users/anuragramteke/.matplotlib
[ 2026-01-31 15:19:16,836 ] matplotlib - DEBUG - interactive is False
[ 2026-01-31 15:19:16,837 ] matplotlib - DEBUG - platform is darwin
[ 2026-01-31 15:19:16,863 ] matplotlib - DEBUG - CACHEDIR=/Users/anuragramteke/.matplotlib
[ 2026-01-31 15:19:16,864 ] matplotlib.font_manager - DEBUG - Using fontManager instance from /Users/anuragramteke/.matplotlib/fontlist-v330.json
